time (s),VT("/out") -  VDC("/out") (V)
342.00E-9,2.2112918E-3
342.50E-9,2.4958194E-3
343.00E-9,2.7763539E-3
343.50E-9,3.0539716E-3
344.00E-9,3.3293462E-3
344.50E-9,3.6007511E-3
345.00E-9,3.8677736E-3
345.50E-9,4.1305670E-3
346.00E-9,4.3896177E-3
346.50E-9,4.6437538E-3
347.00E-9,4.8931232E-3
347.50E-9,5.1362318E-3
348.00E-9,5.3739604E-3
348.50E-9,5.6068199E-3
349.00E-9,5.8334038E-3
349.50E-9,6.0540108E-3
350.00E-9,6.2673141E-3
350.50E-9,6.4740716E-3
351.00E-9,6.6746567E-3
351.50E-9,6.8679175E-3
352.00E-9,7.0540854E-3
352.50E-9,7.2327615E-3
353.00E-9,7.4038505E-3
353.50E-9,7.5671281E-3
354.00E-9,7.7211162E-3
354.50E-9,7.8671593E-3
355.00E-9,8.0060993E-3
355.50E-9,8.1360800E-3
356.00E-9,8.2577563E-3
356.50E-9,8.3706322E-3
357.00E-9,8.4747587E-3
357.50E-9,8.5699467E-3
358.00E-9,8.6561322E-3
358.50E-9,8.7332070E-3
359.00E-9,8.8010975E-3
359.50E-9,8.8597282E-3
360.00E-9,8.9081408E-3
360.50E-9,8.9474178E-3
361.00E-9,8.9781570E-3
361.50E-9,8.9990681E-3
362.00E-9,9.0107119E-3
362.50E-9,9.0128058E-3
363.00E-9,9.0054730E-3
363.50E-9,8.9886630E-3
364.00E-9,8.9624206E-3
364.50E-9,8.9267612E-3
365.00E-9,8.8817280E-3
365.50E-9,8.8273662E-3
366.00E-9,8.7637344E-3
366.50E-9,8.6908993E-3
367.00E-9,8.6089383E-3
367.50E-9,8.5179379E-3
368.00E-9,8.4179943E-3
368.50E-9,8.3092132E-3
369.00E-9,8.1917098E-3
369.50E-9,8.0656081E-3
370.00E-9,7.9310417E-3
370.50E-9,7.7881527E-3
371.00E-9,7.6370924E-3
371.50E-9,7.4780203E-3
372.00E-9,7.3098734E-3
372.50E-9,7.1340703E-3
373.00E-9,6.9518721E-3
373.50E-9,6.7618515E-3
374.00E-9,6.5649605E-3
374.50E-9,6.3610592E-3
375.00E-9,6.1499696E-3
375.50E-9,5.9322496E-3
376.00E-9,5.7087278E-3
376.50E-9,5.4789936E-3
377.00E-9,5.2435900E-3
377.50E-9,5.0026267E-3
378.00E-9,4.7564230E-3
378.50E-9,4.5040017E-3
379.00E-9,4.2466996E-3
379.50E-9,3.9859231E-3
380.00E-9,3.7204823E-3
380.50E-9,3.4509094E-3
381.00E-9,3.1773895E-3
381.50E-9,2.9008376E-3
382.00E-9,2.6210785E-3
382.50E-9,2.3386251E-3
383.00E-9,2.0528558E-3
383.50E-9,1.7647088E-3
384.00E-9,1.4753021E-3
384.50E-9,1.1840577E-3
385.00E-9,891.16561E-6
385.50E-9,597.03288E-6
386.00E-9,302.64278E-6
386.50E-9,7.7594437E-6
387.00E-9,-287.59313E-6
387.50E-9,-582.92078E-6
388.00E-9,-877.25719E-6
388.50E-9,-1.1708398E-3
389.00E-9,-1.4636368E-3
389.50E-9,-1.7551605E-3
390.00E-9,-2.0444542E-3
390.50E-9,-2.3317564E-3
391.00E-9,-2.6170147E-3
391.50E-9,-2.8997665E-3
392.00E-9,-3.1790906E-3
392.50E-9,-3.4552113E-3
393.00E-9,-3.7275950E-3
393.50E-9,-3.9968220E-3
394.00E-9,-4.2619999E-3
394.50E-9,-4.5220792E-3
395.00E-9,-4.7776305E-3
395.50E-9,-5.0283674E-3
396.00E-9,-5.2740112E-3
396.50E-9,-5.5137732E-3
397.00E-9,-5.7478137E-3
397.50E-9,-5.9756927E-3
398.00E-9,-6.1972587E-3
398.50E-9,-6.4122359E-3
399.00E-9,-6.6214384E-3
399.50E-9,-6.8236986E-3
400.00E-9,-7.0177928E-3
400.50E-9,-7.2048528E-3
401.00E-9,-7.3840588E-3
401.50E-9,-7.5555106E-3
402.00E-9,-7.7193155E-3
402.50E-9,-7.8750242E-3
403.00E-9,-8.0219737E-3
403.50E-9,-8.1605672E-3
404.00E-9,-8.2903982E-3
404.50E-9,-8.4114503E-3
405.00E-9,-8.5235392E-3
405.50E-9,-8.6265727E-3
406.00E-9,-8.7204295E-3
406.50E-9,-8.8050161E-3
407.00E-9,-8.8802403E-3
407.50E-9,-8.9460240E-3
408.00E-9,-9.0022968E-3
408.50E-9,-9.0489997E-3
409.00E-9,-9.0860831E-3
409.50E-9,-9.1135077E-3
410.00E-9,-9.1312447E-3
410.50E-9,-9.1392752E-3
411.00E-9,-9.1375908E-3
411.50E-9,-9.1261932E-3
412.00E-9,-9.1050945E-3
412.50E-9,-9.0743170E-3
413.00E-9,-9.0338933E-3
413.50E-9,-8.9838660E-3
414.00E-9,-8.9242881E-3
414.50E-9,-8.8552227E-3
415.00E-9,-8.7767426E-3
415.50E-9,-8.6889310E-3
416.00E-9,-8.5918807E-3
416.50E-9,-8.4856943E-3
417.00E-9,-8.3704841E-3
417.50E-9,-8.2463720E-3
418.00E-9,-8.1134891E-3
418.50E-9,-7.9719760E-3
419.00E-9,-7.8219824E-3
419.50E-9,-7.6636669E-3
